reading_id,machine_id,timestamp,vibration,temperature,service_ticket_opened,failure_next_24h
R-000056,M-001,2023-01-03 08:00:00,3.1738,62.83,0,0
R-000057,M-001,2023-01-03 09:00:00,2.7113,70.545,0,0
R-000058,M-001,2023-01-03 10:00:00,2.3451,73.271,0,0
R-000059,M-001,2023-01-03 11:00:00,2.19,65.843,0,0
R-000060,M-001,2023-01-03 12:00:00,2.7646,76.185,0,0
R-000061,M-001,2023-01-03 13:00:00,3.1294,67.911,0,0
R-000062,M-001,2023-01-03 14:00:00,2.8548,63.253,0,0
R-000063,M-001,2023-01-03 15:00:00,2.8103,64.715,0,0
R-000064,M-001,2023-01-03 16:00:00,2.3565,64.853,0,0
R-000065,M-001,2023-01-03 17:00:00,1.9647,61.714,1,1
R-000066,M-001,2023-01-03 18:00:00,3.0563,74.083,0,0
R-000067,M-001,2023-01-03 19:00:00,2.8871,67.232,0,0
R-000068,M-001,2023-01-03 20:00:00,1.6707,69.858,0,0
R-000069,M-001,2023-01-03 21:00:00,2.2266,66.914,0,0
R-000070,M-001,2023-01-03 22:00:00,3.0865,69.366,0,0
R-000071,M-001,2023-01-03 23:00:00,3.1203,65.698,0,0
R-000072,M-001,2023-01-04 00:00:00,2.2666,67.231,0,0
R-000073,M-001,2023-01-04 01:00:00,3.7144,65.146,0,0
R-000074,M-001,2023-01-04 02:00:00,3.2891,66.953,0,0
R-000075,M-001,2023-01-04 03:00:00,3.0666,62.497,0,0
R-000076,M-001,2023-01-04 04:00:00,2.5257,61.283,0,0
R-000077,M-001,2023-01-04 05:00:00,1.8945,59.929,0,0
R-000078,M-001,2023-01-04 06:00:00,2.996,65.722,0,0
R-000079,M-001,2023-01-04 07:00:00,3.4807,63.11,0,0
R-000080,M-001,2023-01-04 08:00:00,3.049,63.078,0,0
R-000081,M-001,2023-01-04 09:00:00,2.0537,73.666,0,0
R-000082,M-001,2023-01-04 10:00:00,3.1626,67.633,0,0
R-000083,M-001,2023-01-04 11:00:00,2.2615,70.538,0,0
R-000084,M-001,2023-01-04 12:00:00,1.4955,69.195,0,0
R-000085,M-001,2023-01-04 13:00:00,2.7553,61.425,0,0
R-000086,M-001,2023-01-04 14:00:00,1.2406,67.699,0,0
R-000087,M-001,2023-01-04 15:00:00,2.6529,71.576,0,0
R-000088,M-001,2023-01-04 16:00:00,3.103,65.158,0,0
R-000089,M-001,2023-01-04 17:00:00,3.1169,61.907,0,0
R-000090,M-001,2023-01-04 18:00:00,3.9587,57.351,0,0
R-000091,M-001,2023-01-04 19:00:00,2.9338,61.588,0,0
R-000092,M-001,2023-01-04 20:00:00,2.1079,65.14,0,0
R-000093,M-001,2023-01-04 21:00:00,2.9079,66.387,0,0
R-000094,M-002,2023-01-04 22:00:00,2.9824,63.107,0,0
R-000095,M-002,2023-01-04 23:00:00,2.3521,61.346,0,0
R-000096,M-002,2023-01-05 00:00:00,1.7691,68.572,0,0
R-000097,M-002,2023-01-05 01:00:00,2.4578,66.544,0,0
R-000098,M-002,2023-01-05 02:00:00,2.2981,69.314,0,0
R-000099,M-002,2023-01-05 03:00:00,2.4476,68.752,0,0
R-000100,M-002,2023-01-05 04:00:00,2.5526,67.79,0,0
R-000101,M-002,2023-01-05 05:00:00,3.0241,62.465,0,0
R-000102,M-002,2023-01-05 06:00:00,2.9456,59.523,0,0
R-000103,M-002,2023-01-05 07:00:00,3.3614,65.294,0,0
R-000104,M-002,2023-01-05 08:00:00,2.3865,62.354,0,0
R-000105,M-002,2023-01-05 09:00:00,3.1022,60.809,0,0
R-000106,M-002,2023-01-05 10:00:00,1.7782,63.618,0,0
R-000107,M-002,2023-01-05 11:00:00,2.6637,66.556,0,0
R-000108,M-002,2023-01-05 12:00:00,1.8591,61.842,0,0
R-000109,M-002,2023-01-05 13:00:00,2.2099,69.296,0,0
R-000110,M-002,2023-01-05 14:00:00,3.1747,67.683,0,0
R-000111,M-002,2023-01-05 15:00:00,2.1778,65.517,0,0
R-000112,M-002,2023-01-05 16:00:00,3.374,64.998,0,0
R-000113,M-002,2023-01-05 17:00:00,3.5131,65.107,0,0
R-000114,M-002,2023-01-05 18:00:00,2.9238,68.256,0,0
R-000115,M-002,2023-01-05 19:00:00,2.5062,62.173,0,0
R-000116,M-002,2023-01-05 20:00:00,2.1654,66.345,0,0
R-000117,M-002,2023-01-05 21:00:00,2.2387,67.49,0,0
R-000118,M-002,2023-01-05 22:00:00,2.6225,65.657,0,0
R-000119,M-002,2023-01-05 23:00:00,2.1626,74.019,0,0
R-000120,M-002,2023-01-06 00:00:00,2.6135,62.395,0,0
R-000121,M-002,2023-01-06 01:00:00,2.2702,68.26,0,0
R-000122,M-002,2023-01-06 02:00:00,2.9676,70.544,0,0
R-000123,M-002,2023-01-06 03:00:00,1.7444,62.466,0,0
R-000124,M-002,2023-01-06 04:00:00,2.9029,69.879,0,0
R-000125,M-002,2023-01-06 05:00:00,3.1398,69.018,0,0
R-000126,M-002,2023-01-06 06:00:00,2.1611,70.06,0,0
R-000127,M-002,2023-01-06 07:00:00,3.3988,66.886,0,0
R-000128,M-002,2023-01-06 08:00:00,3.4302,67.882,0,0
R-000129,M-002,2023-01-06 09:00:00,3.0095,67.071,0,0
R-000130,M-002,2023-01-06 10:00:00,1.9192,66.649,0,0
R-000131,M-002,2023-01-06 11:00:00,2.8011,62.224,0,0
R-000132,M-002,2023-01-06 12:00:00,1.8615,69.002,0,0
R-000133,M-002,2023-01-06 13:00:00,2.4393,67.835,0,0
R-000134,M-002,2023-01-06 14:00:00,2.0379,60.622,0,0
R-000135,M-002,2023-01-06 15:00:00,2.7467,63.239,0,0
R-000136,M-002,2023-01-06 16:00:00,2.296,61.885,0,0
R-000137,M-002,2023-01-06 17:00:00,2.8383,77.604,0,0
R-000138,M-002,2023-01-06 18:00:00,3.1307,63.802,0,0
R-000139,M-002,2023-01-06 19:00:00,2.3184,64.07,0,0
R-000140,M-002,2023-01-06 20:00:00,2.9418,62.484,0,0
R-000141,M-003,2023-01-06 21:00:00,2.5089,61.953,0,0
R-000142,M-003,2023-01-06 22:00:00,2.6039,67.721,0,0
R-000143,M-003,2023-01-06 23:00:00,2.5631,68.179,0,0
R-000144,M-003,2023-01-07 00:00:00,2.3408,65.403,0,0
R-000145,M-003,2023-01-07 01:00:00,2.4318,59.036,0,0
R-000146,M-003,2023-01-07 02:00:00,3.172,70.439,0,0
R-000147,M-003,2023-01-07 03:00:00,3.2386,66.615,0,0
R-000148,M-003,2023-01-07 04:00:00,2.6998,68.428,0,0
R-000149,M-003,2023-01-07 05:00:00,3.1355,65.295,0,0
R-000150,M-003,2023-01-07 06:00:00,3.2141,63.004,0,0
R-000151,M-003,2023-01-07 07:00:00,3.0453,68.208,0,0
R-000152,M-003,2023-01-07 08:00:00,1.6671,63.446,0,0
R-000153,M-003,2023-01-07 09:00:00,2.6798,70.359,0,0
R-000154,M-003,2023-01-07 10:00:00,3.353,58.084,0,0
R-000155,M-003,2023-01-07 11:00:00,2.8761,64.533,1,1
R-000156,M-003,2023-01-07 12:00:00,2.6726,59.747,0,0
R-000157,M-003,2023-01-07 13:00:00,2.5464,68.017,0,0
R-000158,M-003,2023-01-07 14:00:00,2.8634,67.177,0,0
R-000159,M-003,2023-01-07 15:00:00,2.5407,63.497,0,0
R-000160,M-003,2023-01-07 16:00:00,3.1476,64.862,0,0
R-000161,M-003,2023-01-07 17:00:00,2.6791,63.657,0,0
R-000162,M-003,2023-01-07 18:00:00,2.7229,65.644,0,0
R-000163,M-003,2023-01-07 19:00:00,2.9676,69.441,0,0
R-000164,M-003,2023-01-07 20:00:00,3.3381,64.233,0,0
R-000165,M-003,2023-01-07 21:00:00,2.6519,62.327,0,0
R-000166,M-003,2023-01-07 22:00:00,2.9529,66.584,0,0
R-000167,M-003,2023-01-07 23:00:00,2.5911,60.928,0,0
R-000168,M-003,2023-01-08 00:00:00,2.1286,68.884,0,0
R-000169,M-003,2023-01-08 01:00:00,2.7295,67.805,0,0
R-000170,M-003,2023-01-08 02:00:00,3.0024,61.067,0,0
R-000171,M-003,2023-01-08 03:00:00,2.9105,67.96,0,0
R-000172,M-003,2023-01-08 04:00:00,2.6879,64.185,0,0
R-000173,M-003,2023-01-08 05:00:00,2.6044,70.174,0,0
R-000174,M-003,2023-01-08 06:00:00,2.1205,66.697,0,0
R-000175,M-003,2023-01-08 07:00:00,2.6696,63.661,0,0
R-000176,M-003,2023-01-08 08:00:00,3.5262,68.659,0,0
R-000177,M-003,2023-01-08 09:00:00,2.621,63.943,1,1
R-000178,M-003,2023-01-08 10:00:00,2.7172,64.804,0,0
R-000179,M-003,2023-01-08 11:00:00,3.4305,65.463,0,0
R-000180,M-003,2023-01-08 12:00:00,2.796,64.537,0,0
R-000181,M-003,2023-01-08 13:00:00,2.8643,69.336,0,0
R-000182,M-003,2023-01-08 14:00:00,2.1638,61.94,0,0
R-000183,M-003,2023-01-08 15:00:00,3.1477,64.979,0,0
R-000184,M-003,2023-01-08 16:00:00,3.4289,68.769,0,0
R-000185,M-003,2023-01-08 17:00:00,2.7114,64.255,0,0
R-000186,M-003,2023-01-08 18:00:00,3.2656,71.073,0,0
R-000187,M-003,2023-01-08 19:00:00,3.2283,67.791,0,0
R-000188,M-004,2023-01-08 20:00:00,1.4195,65.433,0,0
R-000189,M-004,2023-01-08 21:00:00,3.457,68.518,0,0
R-000190,M-004,2023-01-08 22:00:00,2.0856,59.83,0,0
R-000191,M-004,2023-01-08 23:00:00,3.0017,68.574,0,0
R-000192,M-004,2023-01-09 00:00:00,3.0137,69.721,0,0
R-000193,M-004,2023-01-09 01:00:00,2.6701,67.769,0,0
R-000194,M-004,2023-01-09 02:00:00,2.6088,63.979,0,0
R-000195,M-004,2023-01-09 03:00:00,2.5988,62.624,0,0
R-000196,M-004,2023-01-09 04:00:00,2.5543,69.564,0,0
R-000197,M-004,2023-01-09 05:00:00,2.564,68.973,0,0
R-000198,M-004,2023-01-09 06:00:00,2.429,71.147,0,0
R-000199,M-004,2023-01-09 07:00:00,2.7437,64.015,0,0
R-000200,M-004,2023-01-09 08:00:00,2.8427,64.161,0,0
R-000201,M-004,2023-01-09 09:00:00,2.6911,64.097,0,0
R-000202,M-004,2023-01-09 10:00:00,2.9456,64.57,0,0
R-000203,M-004,2023-01-09 11:00:00,2.3814,72.335,0,0
R-000204,M-004,2023-01-09 12:00:00,2.8852,66.778,0,0
R-000205,M-004,2023-01-09 13:00:00,3.1978,70.752,0,0
R-000206,M-004,2023-01-09 14:00:00,3.5777,64.933,0,0
R-000207,M-004,2023-01-09 15:00:00,2.1627,63.132,0,0
R-000208,M-004,2023-01-09 16:00:00,3.1728,58.364,0,0
R-000209,M-004,2023-01-09 17:00:00,2.9296,65.164,0,0
R-000210,M-004,2023-01-09 18:00:00,1.8197,71.682,0,0
R-000211,M-004,2023-01-09 19:00:00,2.4849,60.599,0,0
R-000212,M-004,2023-01-09 20:00:00,2.3015,66.134,0,0
R-000213,M-004,2023-01-09 21:00:00,3.0578,65.497,0,0
R-000214,M-004,2023-01-09 22:00:00,3.5366,61.176,0,0
R-000215,M-004,2023-01-09 23:00:00,3.4286,65.228,0,0
R-000216,M-004,2023-01-10 00:00:00,2.9234,68.13,0,0
R-000217,M-004,2023-01-10 01:00:00,3.4902,69.678,0,0
R-000218,M-004,2023-01-10 02:00:00,2.997,66.485,0,0
R-000219,M-004,2023-01-10 03:00:00,2.9149,69.02,0,0
R-000220,M-004,2023-01-10 04:00:00,2.0479,70.991,0,0
R-000221,M-004,2023-01-10 05:00:00,2.4444,63.558,0,0
R-000222,M-004,2023-01-10 06:00:00,2.6219,57.164,0,0
R-000223,M-004,2023-01-10 07:00:00,2.4223,67.542,0,0
R-000224,M-004,2023-01-10 08:00:00,2.3148,67.889,0,0
R-000225,M-004,2023-01-10 09:00:00,2.5705,63.788,0,0
R-000226,M-004,2023-01-10 10:00:00,3.3054,60.277,0,0
R-000227,M-004,2023-01-10 11:00:00,3.0352,63.585,0,0
R-000228,M-004,2023-01-10 12:00:00,2.9428,69.622,0,0
R-000229,M-004,2023-01-10 13:00:00,2.6315,67.837,0,0
R-000230,M-004,2023-01-10 14:00:00,2.5854,68.68,0,0
R-000231,M-004,2023-01-10 15:00:00,2.7966,65.499,0,0
R-000232,M-004,2023-01-10 16:00:00,2.4419,65.754,0,0
R-000233,M-004,2023-01-10 17:00:00,2.8967,62.639,0,0
R-000234,M-004,2023-01-10 18:00:00,2.7413,70.557,0,0
R-000235,M-005,2023-01-10 19:00:00,2.7042,63.997,0,0
R-000236,M-005,2023-01-10 20:00:00,2.9353,70.205,0,0
R-000237,M-005,2023-01-10 21:00:00,2.841,63.944,1,1
R-000238,M-005,2023-01-10 22:00:00,2.9895,69.577,0,0
R-000239,M-005,2023-01-10 23:00:00,2.3849,71.606,0,0
R-000240,M-005,2023-01-11 00:00:00,2.3569,66.58,0,0
R-000241,M-005,2023-01-11 01:00:00,2.4395,63.293,0,0
R-000242,M-005,2023-01-11 02:00:00,2.365,64.313,0,0
R-000243,M-005,2023-01-11 03:00:00,3.4714,63.559,0,0
R-000244,M-005,2023-01-11 04:00:00,2.4196,70.746,0,0
R-000245,M-005,2023-01-11 05:00:00,3.0229,70.837,0,0
R-000246,M-005,2023-01-11 06:00:00,3.1891,65.474,0,0
R-000247,M-005,2023-01-11 07:00:00,3.5498,66.498,0,0
R-000248,M-005,2023-01-11 08:00:00,2.7426,64.608,0,0
R-000249,M-005,2023-01-11 09:00:00,2.5697,74.841,0,0
R-000250,M-005,2023-01-11 10:00:00,2.9333,65.583,0,0
R-000251,M-005,2023-01-11 11:00:00,3.7291,67.284,0,0
R-000252,M-005,2023-01-11 12:00:00,2.7135,64.463,0,0
R-000253,M-005,2023-01-11 13:00:00,3.2994,62.629,0,0
R-000254,M-005,2023-01-11 14:00:00,3.3241,64.751,0,0
R-000255,M-005,2023-01-11 15:00:00,2.2797,67.544,0,0
R-000256,M-005,2023-01-11 16:00:00,3.4131,67.026,0,0
R-000257,M-005,2023-01-11 17:00:00,3.2157,63.61,0,0
R-000258,M-005,2023-01-11 18:00:00,2.0832,65.857,1,1
R-000259,M-005,2023-01-11 19:00:00,3.3307,71.205,0,0
R-000260,M-005,2023-01-11 20:00:00,3.4752,68.155,0,0
R-000261,M-005,2023-01-11 21:00:00,2.8996,63.133,1,1
R-000262,M-005,2023-01-11 22:00:00,3.0027,66.634,0,0
R-000263,M-005,2023-01-11 23:00:00,3.2174,64.553,0,0
R-000264,M-005,2023-01-12 00:00:00,3.0312,70.78,0,0
R-000265,M-005,2023-01-12 01:00:00,2.4413,61.883,0,0
R-000266,M-005,2023-01-12 02:00:00,2.2842,68.037,0,0
R-000267,M-005,2023-01-12 03:00:00,2.4997,64.803,0,0
R-000268,M-005,2023-01-12 04:00:00,2.5095,72.565,0,0
R-000269,M-005,2023-01-12 05:00:00,3.1748,66.75,0,0
R-000270,M-005,2023-01-12 06:00:00,2.2415,71.138,0,0
R-000271,M-005,2023-01-12 07:00:00,2.45,62.277,0,0
R-000272,M-005,2023-01-12 08:00:00,2.4378,64.952,1,1
R-000273,M-005,2023-01-12 09:00:00,3.4839,75.857,0,0
R-000274,M-005,2023-01-12 10:00:00,3.7057,64.566,0,0
R-000275,M-005,2023-01-12 11:00:00,3.0929,68.698,0,0
R-000276,M-005,2023-01-12 12:00:00,3.27,69.572,0,0
R-000277,M-005,2023-01-12 13:00:00,3.1987,63.517,0,0
R-000278,M-005,2023-01-12 14:00:00,2.4102,63.108,0,0
R-000279,M-005,2023-01-12 15:00:00,2.5469,66.223,0,0
R-000280,M-005,2023-01-12 16:00:00,3.1077,71.1,0,0
R-000281,M-005,2023-01-12 17:00:00,2.9357,67.539,0,0
R-000282,M-006,2023-01-12 18:00:00,1.8793,61.939,0,0
R-000283,M-006,2023-01-12 19:00:00,2.4406,67.232,0,0
R-000284,M-006,2023-01-12 20:00:00,2.89,69.996,0,0
R-000285,M-006,2023-01-12 21:00:00,2.1995,66.716,0,0
R-000286,M-006,2023-01-12 22:00:00,3.2081,61.555,0,0
R-000287,M-006,2023-01-12 23:00:00,3.2279,61.376,0,0
R-000288,M-006,2023-01-13 00:00:00,3.5446,72.439,0,0
R-000289,M-006,2023-01-13 01:00:00,2.3565,74.614,0,0
R-000290,M-006,2023-01-13 02:00:00,2.7957,68.164,0,0
R-000291,M-006,2023-01-13 03:00:00,3.3182,61.952,0,0
R-000292,M-006,2023-01-13 04:00:00,2.4739,62.85,0,0
R-000293,M-006,2023-01-13 05:00:00,2.9322,67.201,0,0
R-000294,M-006,2023-01-13 06:00:00,2.5709,67.982,0,0
R-000295,M-006,2023-01-13 07:00:00,2.8976,69.102,0,0
R-000296,M-006,2023-01-13 08:00:00,2.2929,68.351,0,0
R-000297,M-006,2023-01-13 09:00:00,2.9173,68.172,0,0
R-000298,M-006,2023-01-13 10:00:00,3.676,68.644,0,0
R-000299,M-006,2023-01-13 11:00:00,3.4825,71.343,0,0
R-000300,M-006,2023-01-13 12:00:00,2.6014,76.554,0,0
R-000301,M-006,2023-01-13 13:00:00,2.8463,69.955,0,0
R-000302,M-006,2023-01-13 14:00:00,2.3811,70.001,0,0
R-000303,M-006,2023-01-13 15:00:00,3.4075,61.96,0,0
R-000304,M-006,2023-01-13 16:00:00,3.0354,68.899,0,0
R-000305,M-006,2023-01-13 17:00:00,3.4483,65.02,0,0
R-000306,M-006,2023-01-13 18:00:00,2.9139,68.911,1,1
R-000307,M-006,2023-01-13 19:00:00,2.5873,60.876,0,0
R-000308,M-006,2023-01-13 20:00:00,3.2878,65.908,0,0
R-000309,M-006,2023-01-13 21:00:00,2.2975,73.809,0,0
R-000310,M-006,2023-01-13 22:00:00,2.8163,73.591,0,0
R-000311,M-006,2023-01-13 23:00:00,3.4715,64.531,0,0
R-000312,M-006,2023-01-14 00:00:00,2.5959,69.781,0,0
R-000313,M-006,2023-01-14 01:00:00,1.5386,65.997,0,0
R-000314,M-006,2023-01-14 02:00:00,2.3937,67.555,0,0
R-000315,M-006,2023-01-14 03:00:00,3.8299,63.763,0,0
R-000316,M-006,2023-01-14 04:00:00,2.7312,69.443,0,0
R-000317,M-006,2023-01-14 05:00:00,2.3063,74.969,0,0
R-000318,M-006,2023-01-14 06:00:00,2.6596,74.05,0,0
R-000319,M-006,2023-01-14 07:00:00,3.5954,71.137,0,0
R-000320,M-006,2023-01-14 08:00:00,2.6752,64.045,0,0
R-000321,M-006,2023-01-14 09:00:00,2.3567,60.708,0,0
R-000322,M-006,2023-01-14 10:00:00,3.8061,67.692,0,0
R-000323,M-006,2023-01-14 11:00:00,2.9572,69.426,0,0
R-000324,M-006,2023-01-14 12:00:00,3.3078,72.68,0,0
R-000325,M-006,2023-01-14 13:00:00,2.1615,68.053,0,0
R-000326,M-006,2023-01-14 14:00:00,3.6284,71.199,0,0
R-000327,M-006,2023-01-14 15:00:00,3.0185,65.06,0,0
R-000328,M-006,2023-01-14 16:00:00,3.7145,67.029,0,0
R-000329,M-007,2023-01-14 17:00:00,3.5674,63.387,0,0
R-000330,M-007,2023-01-14 18:00:00,2.98,74.515,0,0
R-000331,M-007,2023-01-14 19:00:00,3.0669,67.413,0,0
R-000332,M-007,2023-01-14 20:00:00,3.001,64.931,0,0
R-000333,M-007,2023-01-14 21:00:00,4.443,61.733,0,0
R-000334,M-007,2023-01-14 22:00:00,3.4319,70.7,0,0
R-000335,M-007,2023-01-14 23:00:00,3.6859,71.642,0,0
R-000336,M-007,2023-01-15 00:00:00,3.3852,71.16,0,0
R-000337,M-007,2023-01-15 01:00:00,2.0677,63.063,0,0
R-000338,M-007,2023-01-15 02:00:00,2.3705,70.115,0,0
R-000339,M-007,2023-01-15 03:00:00,3.7619,67.835,1,1
R-000340,M-007,2023-01-15 04:00:00,3.1127,65.574,0,0
R-000341,M-007,2023-01-15 05:00:00,2.6945,65.874,0,0
R-000342,M-007,2023-01-15 06:00:00,3.3014,66.466,0,0
R-000343,M-007,2023-01-15 07:00:00,3.1153,68.264,0,0
R-000344,M-007,2023-01-15 08:00:00,4.1318,68.739,0,0
R-000345,M-007,2023-01-15 09:00:00,2.7194,65.323,0,0
R-000346,M-007,2023-01-15 10:00:00,2.7128,72.349,1,1
R-000347,M-007,2023-01-15 11:00:00,3.1682,69.175,0,0
R-000348,M-007,2023-01-15 12:00:00,3.5716,68.462,0,0
R-000349,M-007,2023-01-15 13:00:00,3.0641,67.495,0,0
R-000350,M-007,2023-01-15 14:00:00,3.3819,69.972,0,0
R-000351,M-007,2023-01-15 15:00:00,2.974,74.349,0,0
R-000352,M-007,2023-01-15 16:00:00,2.9786,71.326,0,0
R-000353,M-007,2023-01-15 17:00:00,2.9298,62.415,0,0
R-000354,M-007,2023-01-15 18:00:00,2.8283,64.812,0,0
R-000355,M-007,2023-01-15 19:00:00,3.475,72.296,0,0
R-000356,M-007,2023-01-15 20:00:00,2.8057,70.346,0,0
R-000357,M-007,2023-01-15 21:00:00,3.5586,70.462,0,0
R-000358,M-007,2023-01-15 22:00:00,2.2307,72.471,0,0
R-000359,M-007,2023-01-15 23:00:00,1.9383,70.094,0,0
R-000360,M-007,2023-01-16 00:00:00,4.3735,64.096,0,0
R-000361,M-007,2023-01-16 01:00:00,2.4217,68.23,0,0
R-000362,M-007,2023-01-16 02:00:00,3.471,70.831,0,0
R-000363,M-007,2023-01-16 03:00:00,3.1104,70.601,0,0
R-000364,M-007,2023-01-16 04:00:00,3.5018,71.416,0,0
R-000365,M-007,2023-01-16 05:00:00,4.2096,61.369,0,0
R-000366,M-007,2023-01-16 06:00:00,3.1369,71.433,0,0
R-000367,M-007,2023-01-16 07:00:00,3.4353,67.641,0,0
R-000368,M-007,2023-01-16 08:00:00,2.8579,65.878,0,0
R-000369,M-007,2023-01-16 09:00:00,3.342,70.011,0,0
R-000370,M-007,2023-01-16 10:00:00,2.3714,75.888,0,0
R-000371,M-007,2023-01-16 11:00:00,3.752,69.53,0,0
R-000372,M-007,2023-01-16 12:00:00,3.0743,64.26,0,0
R-000373,M-007,2023-01-16 13:00:00,2.5483,70.805,0,0
R-000374,M-007,2023-01-16 14:00:00,2.9681,71.45,0,0
R-000375,M-007,2023-01-16 15:00:00,2.9861,63.01,0,0
R-000376,M-008,2023-01-16 16:00:00,3.7419,68.359,0,0
R-000377,M-008,2023-01-16 17:00:00,2.3282,67.475,0,0
R-000378,M-008,2023-01-16 18:00:00,2.6496,67.397,0,0
R-000379,M-008,2023-01-16 19:00:00,3.4309,63.672,1,1
R-000380,M-008,2023-01-16 20:00:00,2.828,66.417,0,0
R-000381,M-008,2023-01-16 21:00:00,3.077,69.027,0,0
R-000382,M-008,2023-01-16 22:00:00,3.3463,69.969,0,0
R-000383,M-008,2023-01-16 23:00:00,2.6331,72.693,0,0
R-000384,M-008,2023-01-17 00:00:00,3.2607,68.214,0,0
R-000385,M-008,2023-01-17 01:00:00,2.2783,73.168,0,0
R-000386,M-008,2023-01-17 02:00:00,2.3756,71.552,0,0
R-000387,M-008,2023-01-17 03:00:00,3.1523,67.423,0,0
R-000388,M-008,2023-01-17 04:00:00,2.6571,70.673,0,0
R-000389,M-008,2023-01-17 05:00:00,2.638,74.433,0,0
R-000390,M-008,2023-01-17 06:00:00,2.6077,63.001,0,0
R-000391,M-008,2023-01-17 07:00:00,3.1091,67.113,0,0
R-000392,M-008,2023-01-17 08:00:00,2.9459,68.938,0,0
R-000393,M-008,2023-01-17 09:00:00,3.0929,71.882,0,0
R-000394,M-008,2023-01-17 10:00:00,3.3816,64.36,0,0
R-000395,M-008,2023-01-17 11:00:00,4.0218,68.703,0,0
R-000396,M-008,2023-01-17 12:00:00,2.9225,66.748,0,0
R-000397,M-008,2023-01-17 13:00:00,3.7061,65.003,1,1
